city_list,cloudiness,country,date,humidity,lat,long,max_temp,wind_speed
Nemuro,0,JP,2019-04-07,98,43.32,145.57,33.73,14.81
Santander,20,PH,2019-04-07,88,9.42,123.33,78.8,9.78
Kulhudhuffushi,48,MV,2019-04-07,100,6.62,73.07,81.16,2.28
Saint-Augustin,0,FR,2019-04-07,87,44.83,-0.61,50.0,2.24
Talas,40,TR,2019-04-07,93,38.69,35.55,41.0,4.7
Katangli,88,RU,2019-04-07,92,51.71,143.23,28.87,8.77
Severo-Kurilsk,88,RU,2019-04-07,95,50.68,156.12,32.65,24.32
Saskylakh,32,RU,2019-04-07,69,71.97,114.09,11.14,9.44
Hay River,90,CA,2019-04-07,57,60.82,-115.79,37.4,6.93
Ancud,40,CL,2019-04-07,72,-41.87,-73.83,66.2,8.05
Ambilobe,48,MG,2019-04-07,79,-13.19,49.05,78.1,5.97
Bongor,36,TD,2019-04-07,52,10.28,15.37,83.59,2.95
Ibipeba,76,BR,2019-04-07,77,-11.64,-42.01,77.56,4.18
Keti Bandar,0,PK,2019-04-07,92,24.14,67.45,80.62,16.93
Axim,32,GH,2019-04-07,95,4.87,-2.24,84.04,14.25
Ugoofaaru,0,MV,2019-04-07,100,5.67,73.0,84.76,1.39
Mae Chan,8,TH,2019-04-07,88,20.15,99.85,69.8,3.36
Pangody,68,RU,2019-04-07,85,65.85,74.49,21.58,10.22
Port-Gentil,40,GA,2019-04-07,94,-0.72,8.78,82.4,4.7
Kodiak,20,US,2019-04-07,64,39.95,-94.76,75.99,12.75
Berlevag,75,NO,2019-04-07,79,70.86,29.09,26.6,11.41
Caluquembe,12,AO,2019-04-07,97,-13.78,14.68,60.91,1.16
Nizhniy Baskunchak,76,RU,2019-04-07,97,48.22,46.83,49.75,8.21
Jaen,80,PE,2019-04-07,93,-5.71,-78.81,66.76,2.06
Waddan,12,LY,2019-04-07,29,29.16,16.14,70.18,11.23
Mercedes,0,UY,2019-04-07,44,-33.25,-58.03,73.33,2.73
Avera,40,US,2019-04-07,54,33.19,-82.53,84.2,6.93
Jiazi,0,CN,2019-04-07,94,19.61,110.49,75.2,4.47
Maralal,0,KE,2019-04-07,83,1.1,36.7,60.37,4.63
Anadyr,0,RU,2019-04-07,72,64.73,177.51,10.4,6.71
Saint-Leu,0,RE,2019-04-07,73,-21.15,55.28,77.0,4.7
Erzin,75,TR,2019-04-07,77,36.95,36.2,61.0,9.17
Sorland,20,NO,2019-04-07,63,67.67,12.69,30.2,6.93
Kalmunai,8,LK,2019-04-07,100,7.42,81.82,73.87,2.95
Bonavista,56,CA,2019-04-07,84,48.65,-53.11,33.01,8.01
Smirnykh,56,RU,2019-04-07,91,49.74,142.83,25.9,7.09
Pangkalanbuun,36,ID,2019-04-07,91,-2.68,111.62,74.05,2.62
Pangnirtung,90,CA,2019-04-07,63,66.15,-65.72,26.6,6.93
Muyezerskiy,56,RU,2019-04-07,80,63.93,31.65,27.7,2.28
Mehamn,75,NO,2019-04-07,58,71.03,27.85,28.4,14.99
San Lazaro,20,BZ,2019-04-07,62,18.04,-88.66,87.8,9.17
Flin Flon,90,CA,2019-04-07,79,54.77,-101.88,23.0,8.05
Esperance,20,TT,2019-04-07,55,10.24,-61.45,86.0,12.75
Ahipara,76,NZ,2019-04-07,85,-35.17,173.16,63.52,15.93
Cedar City,1,US,2019-04-07,25,37.68,-113.06,68.0,3.36
Nalbari,40,IN,2019-04-07,94,26.45,91.44,68.0,3.18
Carolina,40,PR,2019-04-07,61,18.38,-65.96,84.2,19.46
Rundu,64,NA,2019-04-07,79,-17.91,19.77,66.49,5.64
Ambon,0,FR,2019-04-07,93,47.55,-2.56,48.99,3.36
Bozoum,80,CF,2019-04-07,96,6.31,16.38,69.1,9.66
Grindavik,75,IS,2019-04-07,100,63.84,-22.43,39.99,6.93
Karacakoy,75,TR,2019-04-07,87,41.4,28.38,57.2,4.7
Bocas del Toro,32,PA,2019-04-07,64,9.33,-82.25,62.01,1.99
Cairns,75,AU,2019-04-07,83,-16.92,145.77,73.99,12.75
Praia da Vitoria,40,PT,2019-04-07,76,38.73,-27.07,55.4,24.09
Qasigiannguit,24,GL,2019-04-07,83,68.82,-51.19,32.38,3.74
Ostrovnoy,68,RU,2019-04-07,86,68.05,39.51,24.28,7.99
Umm Lajj,12,SA,2019-04-07,71,25.02,37.27,70.54,4.18
Dunedin,0,NZ,2019-04-07,70,-45.87,170.5,57.0,17.0
Ljungby,90,SE,2019-04-07,49,56.83,13.94,46.4,11.41
Tselinnoye,44,UA,2019-04-07,78,45.9,34.18,49.3,12.01
Neepawa,20,CA,2019-04-07,66,50.23,-99.46,55.4,10.29
Suntar,0,RU,2019-04-07,76,62.16,117.65,21.58,5.86
Nevel,68,RU,2019-04-07,62,56.02,29.92,41.83,7.99
Klaksvik,64,FO,2019-04-07,65,62.23,-6.59,41.0,12.75
Palu,12,ID,2019-04-07,95,-0.9,119.87,65.68,1.61
Tromso,20,NO,2019-04-07,79,69.65,18.96,26.6,6.93
Chuguyevka,76,RU,2019-04-07,79,44.17,133.87,27.43,2.28
Taltal,0,CL,2019-04-07,72,-25.41,-70.49,67.48,3.74
Nanortalik,8,GL,2019-04-07,98,60.14,-45.24,31.66,1.16
Tessaoua,0,NE,2019-04-07,50,13.76,7.99,85.3,3.85
Champerico,40,MX,2019-04-07,22,16.38,-93.6,98.6,6.93
Tuatapere,0,NZ,2019-04-07,96,-46.13,167.69,46.0,5.19
Kavieng,80,PG,2019-04-07,100,-2.57,150.8,79.81,5.97
Belaya Gora,12,RU,2019-04-07,76,68.54,146.19,7.45,2.39
Lufilufi,40,WS,2019-04-07,66,-13.87,-171.6,89.6,8.05
Mosetse,44,BW,2019-04-07,79,-20.64,26.64,67.93,10.45
Cherskiy,0,RU,2019-04-07,63,68.75,161.3,9.16,2.39
Thunder Bay,90,CA,2019-04-07,100,48.41,-89.26,36.0,20.8
Seminole,1,US,2019-04-07,13,32.72,-102.64,80.6,3.36
Bud,75,NO,2019-04-07,51,62.91,6.91,39.0,13.87
Birao,0,CF,2019-04-07,21,10.3,22.78,78.46,9.44
Santa Vitoria do Palmar,0,BR,2019-04-07,83,-33.52,-53.37,69.19,3.74
Baiyin,0,CN,2019-04-07,48,36.55,104.13,39.2,6.71
Lompoc,1,US,2019-04-07,60,34.64,-120.46,80.6,16.11
Bria,0,CF,2019-04-07,38,6.54,21.99,84.85,13.69
Cape Canaveral,1,US,2019-04-07,65,28.41,-80.6,84.99,12.75
Petrila,0,RO,2019-04-07,46,45.44,23.38,53.6,3.36
Casa Nova,92,BR,2019-04-07,89,-11.77,-39.23,77.83,6.31
Nhulunbuy,68,AU,2019-04-07,94,-12.18,136.78,77.0,3.36
Santa Marta,12,CO,2019-04-07,95,11.24,-74.21,80.71,25.77
Nisia Floresta,40,BR,2019-04-07,83,-6.09,-35.21,82.4,6.93
Burgersdorp,44,ZA,2019-04-07,86,-30.99,26.32,52.45,6.42
Luganville,8,VU,2019-04-07,100,-15.51,167.18,81.25,12.68
Tokomaru,92,NZ,2019-04-07,88,-40.47,175.51,57.99,1.99
Hambantota,0,LK,2019-04-07,100,6.12,81.12,78.8,3.36
Port Blair,0,IN,2019-04-07,100,11.67,92.75,84.31,2.95
Tuktoyaktuk,90,CA,2019-04-07,78,69.44,-133.03,8.6,9.17
Florianopolis,75,BR,2019-04-07,94,-27.6,-48.55,72.0,14.99
Toora-Khem,88,RU,2019-04-07,75,52.47,96.11,24.1,4.41
Ribeira Brava,20,PT,2019-04-07,67,32.65,-17.07,60.8,4.7
Padang,56,ID,2019-04-07,100,-0.92,100.36,81.43,6.64
Palmer,40,AU,2019-04-07,82,-34.85,139.16,59.0,8.05
Hamilton,75,BM,2019-04-07,83,32.3,-64.78,71.6,6.93
Dondo,20,MZ,2019-04-07,78,-19.62,34.74,77.0,5.97
Port Moresby,36,PG,2019-04-07,96,-9.47,147.16,82.51,3.51
Sakaiminato,75,JP,2019-04-07,87,35.55,133.23,48.2,4.7
Nizhneudinsk,32,RU,2019-04-07,71,54.91,99.03,29.23,5.97
Sisimiut,92,GL,2019-04-07,88,66.94,-53.67,31.03,1.72
Dudinka,76,RU,2019-04-07,94,69.41,86.18,17.89,15.82
Yate,75,GB,2019-04-07,93,51.54,-2.41,52.0,4.7
Norman Wells,90,CA,2019-04-07,68,65.28,-126.83,28.4,6.93
Shakawe,24,BW,2019-04-07,61,-18.36,21.84,73.51,5.75
Estelle,90,US,2019-04-07,73,32.87,-97.01,73.0,6.93
Fare,64,PF,2019-04-07,97,-16.7,-151.02,84.67,16.26
Curvelo,48,BR,2019-04-07,63,-18.76,-44.43,80.17,3.62
Marawi,36,PH,2019-04-07,89,8.0,124.29,77.0,3.0
Karachi,0,PK,2019-04-07,78,24.87,67.03,78.8,5.82
Vanersborg,24,SE,2019-04-07,80,58.38,12.32,42.8,4.7
The Valley,20,AI,2019-04-07,65,18.22,-63.06,81.0,13.87
Port Lincoln,92,AU,2019-04-07,96,-34.72,135.86,63.79,16.82
